,index,name,ram,storage,brand_in_num,mean_rate,total_comment,price
55,624902161.0,Apple Macbook Pro 13 2.3GHz i5 128GB Silver MPXR2ZP/A,0,128,1451,5.0,401.0,9388.0
56,10787520774.0,HUAWEI Y9 2019 智能手機 藍色,0,0,1351,5.0,393.0,1688.0
57,10555845058.0,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,0,256,1451,5.0,389.0,12888.0
58,10555786341.0,Apple iPad Pro 11 256GB Wi-Fi Silver MTXR2ZP/A 平板電腦,0,256,1451,5.0,385.0,6799.0
59,10584849540.0,APPLE IPHONE XR 256GB 手機 (PRODUCT)RED,0,256,1501,5.0,385.0,6499.0
60,11020212664.0,HUAWEI P30 LITE 6+128GB 智能手機 藍色,0,128,1351,5.0,384.0,2388.0
61,10584849161.0,APPLE IPHONE XS 64GB 手機 銀色,0,64,1501,5.0,383.0,7409.0
62,10586383782.0,SAMSUNG GALAXY NOTE 9 128GB 手機 黑色,0,128,1401,5.0,379.0,5556.12
63,10576193971.0,Microsoft Surface Pro i5/128GB/8GB RAM/ Signature Cover Bundle (Platinum）手提電腦,8,128,1251,5.0,375.0,7888.0
64,10584849494.0,APPLE IPHONE XR 128GB 手機 黃色,0,128,1501,5.0,374.0,5699.0
65,10620163685.0,HUAWEI M5 LITE MEDIA PAD,0,0,1351,5.0,373.0,2380.0
66,11039060814.0,SAMSUNG GALAXY A70 手機 6+128GB 白色,0,128,1401,5.0,349.0,2798.0
67,10676500810.0,SAMSUNG GALAXY J4+ 手機 2+32GB 黑色,0,32,1401,5.0,339.0,1208.0
68,11191799765.0,華為/HUAWEI Y9 Prime 2019 手機 寶石藍,0,0,801,5.0,335.0,1888.0
69,10676511066.0,SAMSUNG GALAXY A7 手機 4+128GB 黑色,0,128,1401,5.0,334.0,2498.0
70,11039060815.0,SAMSUNG GALAXY A70 手機 8+128GB 黑色,0,128,1401,5.0,326.0,2798.0
71,10818305893.0,Microsoft Surface Pro 6 (Core i5/ 256GB/8GB RAM),8,256,1251,5.0,324.0,9988.0
72,10613855369.0,DELL Inspiron 14-5480 R1500-S-W10 14'' i5 256SSD 手提電腦,0,0,1001,5.0,320.0,6799.0
73,10964145620.0,APPLE IPAD MINI 2019 64GB WIFI GOLD MUQY2ZP/A 平板電腦,0,64,1501,5.0,313.0,2988.0
74,10676500905.0,SAMSUNG GALAXY A7 手機 4+128GB 粉色,0,128,1401,5.0,311.0,2498.0
75,10578795276.0,MICROSOFT KLJ-00008 SP I5/8GB/256GB W/PLAT COVER BUNDLE 連鍵盤 電腦套裝,8,256,551,5.0,308.0,9488.0
76,11039060813.0,SAMSUNG GALAXY A70 手機 6+128GB 橙色,0,128,1401,5.0,306.0,2798.0
77,10818316793.0,Microsoft Surface Pro 6 (Core i5/ 128GB/ 8GB RAM),8,128,1251,5.0,291.0,7288.0
78,10964124018.0,APPLE IPAD AIR 10.5 64GB WIFI SPACE GREY MUUJ2ZP/A 平板電腦,0,64,1501,5.0,286.0,3699.0
79,11008663596.0,SAMSUNG GALAXY A20 手機 3+32GB 橙色,0,32,1401,5.0,284.0,1298.0
80,10612390263.0,VIVO V11 手機 夜空黑,0,0,1301,5.0,281.0,1839.0
81,10586383783.0,SAMSUNG GALAXY NOTE 9 128GB 手機 紫色,0,128,1401,5.0,271.0,5556.12
82,11191799773.0,華為/HUAWEI Y9 Prime 2019 手機 翡冷翠,0,0,801,5.0,271.0,1888.0
83,10584849446.0,APPLE IPHONE XR 64GB 手機 藍色,0,64,1501,5.0,261.0,5199.0
84,10574051200.0,Apple Macbook Air 13 1.6GHz I5 256GB Space Gray MRE92ZP/A 手提電腦,0,256,1451,5.0,258.0,10339.0
85,170114328.0,LG X POWER K220YAHKGBK BLACK 智能手機 黑色 2+16,0,0,1151,5.0,250.0,1098.0
86,11039060816.0,SAMSUNG GALAXY A70 手機 8+128GB 藍色,0,128,1401,5.0,247.0,2798.0
87,10705443171.0,SAMSUNG GALAXY A9 8+128GB 手機 藍色,0,128,1401,5.0,245.0,3198.0
88,10524360588.0,VIVO X21 手機 黑色,0,0,1301,5.0,239.0,2998.0
89,10612565854.0,VIVO V11 手機 紫色,0,0,1301,5.0,231.0,1839.0
90,10555846102.0,APPLE Macbook Pro Touch Bar 13 2.3GHz i5 512GB Space Gray MR9R2ZP/A 手提電腦,0,512,1501,4.98,224.0,14188.0
91,11191646476.0,HUAWEI Y9 Prime 2019 手機 幻夜黑,0,0,1351,5.0,219.0,1888.0
92,11026147271.0,SAMSUNG GALAXY A40S 手機 6+64GB 黑色,0,64,1401,5.0,218.0,1898.0
93,10586383778.0,SAMSUNG GALAXY NOTE 9 512GB 手機 藍色,0,512,1401,5.0,216.0,7312.0
94,10964124069.0,APPLE IPAD AIR 10.5 64GB WIFI GOLD MUUL2ZP/A 平板電腦,0,64,1501,5.0,216.0,3699.0
95,10964124022.0,APPLE IPAD AIR 10.5 64GB WIFI SILVER MUUK2ZP/A 平板電腦,0,64,1501,5.0,212.0,3699.0
96,11020212650.0,HUAWEI P30 PRO 8+512GB 智能手機 橙色,0,512,1351,5.0,208.0,6398.0
97,10964145615.0,APPLE IPAD MINI 2019 64GB WIFI SPACE GREY MUQW2ZP/A 平板電腦,0,64,1501,5.0,203.0,2988.0
98,10395360561.0,Apple iPad (2018) Wi-Fi + Cellular 128GB MRM22ZP/A 金,0,128,1451,5.0,199.0,3988.0
