Index,product_index,product_type,product_name,prodect_brand,price,avg_rating,total_comment,seller,website
31,615437999,Tablet,微軟 (Microsoft) Surface Book Performance Base (i7/16GB/512GB),微軟,21688.0,0.0,58,香港蘇寧,https://product.hksuning.com/0000000000/615437999.html
32,10555845879,Tablet,Apple iPad Pro 12.9 256GB 4G Silver MTJ62ZP/A 平板電腦,Apple,9199.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10555845879.html
33,10580223969,Tablet,Microsoft Surface Go (Intel 4415Y/128GB/8GB RAM),Microsoft,4288.0,0.0,436,香港蘇寧,https://product.hksuning.com/0000000000/10580223969.html
34,10580992866,Tablet,AMAZON KINDLE PAPERWHITE HD WIFI 4GB WHITE 電子書,AMAZON,1599.0,0.0,14,香港蘇寧,https://product.hksuning.com/0000000000/10580992866.html
35,10555867679,Tablet,Apple iPad Pro 12.9 64GB Wi-Fi Silver MTEM2ZP/A 平板電腦,Apple,7199.0,0.0,28,香港蘇寧,https://product.hksuning.com/0000000000/10555867679.html
36,10818305893,Tablet,Microsoft Surface Pro 6 (Core i5/ 256GB/8GB RAM),Microsoft,9988.0,0.0,324,香港蘇寧,https://product.hksuning.com/0000000000/10818305893.html
37,10964145679,Tablet,APPLE IPAD MINI 2019 64GB 4G SPACE GREY MUX52ZP/A 平板電腦,APPLE,3888.0,0.0,86,香港蘇寧,https://product.hksuning.com/0000000000/10964145679.html
38,10576193971,Tablet,Microsoft Surface Pro i5/128GB/8GB RAM/ Signature Cover Bundle (Platinum）手提電腦,Microsoft,7888.0,0.0,375,香港蘇寧,https://product.hksuning.com/0000000000/10576193971.html
39,10964124138,Tablet,APPLE IPAD AIR 10.5 256GB WI-FI SILVER MUUR2ZP/A 平板電腦,APPLE,4699.0,0.0,117,香港蘇寧,https://product.hksuning.com/0000000000/10964124138.html
40,10964145768,Tablet,APPLE IPAD MINI 2019 256GB 4G GOLD MUXE2ZP/A 平板電腦,APPLE,4899.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10964145768.html
41,10555867477,Tablet,Apple iPad Pro 12.9 512GB Wi-Fi Space Gray MTFP2ZP/A 平板電腦,Apple,9699.0,0.0,33,香港蘇寧,https://product.hksuning.com/0000000000/10555867477.html
42,10964145562,Tablet,APPLE IPAD AIR 10.5 256GB 4G SPACE GREY MV0N2ZP/A 平板電腦,APPLE,5488.0,0.0,40,香港蘇寧,https://product.hksuning.com/0000000000/10964145562.html
43,10555566928,Tablet,Apple iPad Pro 11 512GB 4G Space Gray MU1F2ZP/A 平板電腦,Apple,9199.0,0.0,29,香港蘇寧,https://product.hksuning.com/0000000000/10555566928.html
44,10395357178,Tablet,Apple iPad (2018) Wi-Fi 128GB MRJP2ZP/A 金色,Apple,3088.0,0.0,503,香港蘇寧,https://product.hksuning.com/0000000000/10395357178.html
45,10395189998,Tablet,Apple iPad (2018) Wi-Fi 128GB MR7K2ZP/A 銀色,Apple,3088.0,0.0,481,香港蘇寧,https://product.hksuning.com/0000000000/10395189998.html
46,10395360561,Tablet,Apple iPad (2018) Wi-Fi + Cellular 128GB MRM22ZP/A 金,Apple,3988.0,0.0,199,香港蘇寧,https://product.hksuning.com/0000000000/10395360561.html
48,10395120260,Tablet,Apple iPad (2018) Wi-Fi + Cellular 128GB MR732ZP/A 銀色,Apple,3988.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10395120260.html
49,10555786341,Tablet,Apple iPad Pro 11 256GB Wi-Fi Silver MTXR2ZP/A 平板電腦,Apple,6799.0,0.0,385,香港蘇寧,https://product.hksuning.com/0000000000/10555786341.html
50,10578795276,Tablet,MICROSOFT KLJ-00008 SP I5/8GB/256GB W/PLAT COVER BUNDLE 連鍵盤 電腦套裝,MICROSOFT,9488.0,0.0,308,香港蘇寧,https://product.hksuning.com/0000000000/10578795276.html
51,10964124022,Tablet,APPLE IPAD AIR 10.5 64GB WIFI SILVER MUUK2ZP/A 平板電腦,APPLE,3699.0,0.0,212,香港蘇寧,https://product.hksuning.com/0000000000/10964124022.html
53,10717774544,Tablet,AMAZON ALL KINDLE PAPERWHITE 4TH GEN 8GB 黑色 電子書,AMAZON,1699.0,0.0,14,香港蘇寧,https://product.hksuning.com/0000000000/10717774544.html
54,10555851024,Tablet,Apple iPad Pro 12.9 512GB 4G Silver MTJJ2ZP/A 平板電腦,Apple,10629.0,0.0,5,香港蘇寧,https://product.hksuning.com/0000000000/10555851024.html
56,10555861888,Tablet,Apple iPad Pro 12.9 512GB 4G Space Gray MTJD2ZP/A 平板電腦,Apple,10629.0,0.0,11,香港蘇寧,https://product.hksuning.com/0000000000/10555861888.html
57,10964145683,Tablet,APPLE IPAD MINI 2019 64GB 4G SILVER MUX62ZP/A 平板電腦,APPLE,3888.0,0.0,53,香港蘇寧,https://product.hksuning.com/0000000000/10964145683.html
58,10964145600,Tablet,APPLE IPAD AIR 10.5 256GB 4G GOLD MV0Q2ZP/A 平板電腦,APPLE,5499.0,0.0,39,香港蘇寧,https://product.hksuning.com/0000000000/10964145600.html
59,10555754413,Tablet,Apple iPad Pro 11 1TB Wi-Fi Silver MTXW2ZP/A 平板電腦,Apple,11079.0,0.0,4,香港蘇寧,https://product.hksuning.com/0000000000/10555754413.html
60,10555823651,Tablet,Apple iPad Pro 11 64GB Wi-Fi Space Gray MTXN2ZP/A 平板電腦,Apple,5799.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10555823651.html
61,10555867395,Tablet,Apple iPad Pro 12.9 512GB Wi-Fi Silver MTFQ2ZP/A 平板電腦,Apple,9699.0,0.0,23,香港蘇寧,https://product.hksuning.com/0000000000/10555867395.html
