,product_index,username,rate_date,user_rate,buyer_comment
0,H5912001_S_EK0001,Joe Kong, 2019-05-04 ,5,產品正常操作中
1,H0972006_S_ld8x,Siu Bun Wong, 2019-07-12 ,3,Ok
2,H6482001_S_172,Rebecca Lo, 2019-07-08 ,5,上門服務一流，大力推介
3,H5087001_S_hoda9617,garry leung, 2019-09-26 ,5,好
4,H6482001_S_110,Choiyan Tse, 2019-06-26 ,4,換完差唔多一個星期so far都ok ah，仲臨時換埋舊電。睇落同新買無分別，不過㩒粒home鍵無左噠噠聲有啲sad...
5,H6482001_S_110,Wing yan Cheng, 2019-02-18 ,5,服務態度好好，維修後更會細心問你使用經驗及跟進你的問題
6,H6482001_S_110,Ky Lee, 2018-12-21 ,5,專業服務及解釋，公司位置不方便依然好快。個mon質素都好好，又平又方便。
7,H0778001_S_X1_BK,Arthur cheng, 2017-05-16 ,4,好!
