,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H6725001_S_iSE_G_64_3A_U,smartphone,APPLE,"iPhone SE - 64GB, 二手9成新 (100%正常運作)(平行進口)",1370.0,4.6,7,HKTVmall-Outlet,https://www.hktvmall.com/hktv/zh/main/HKTVmall-Outlet/s/H1137001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-SE-64GB-二手9成新-100正常運作平行進口/p/H6725001_S_iSE_G_64_3A_U
1,H5688002_S_DG007302973,smartphone,APPLE,AirPods (2nd generation) 配備無線充電盒- MRXJ2ZP/A,1345.0,4.8,6,COOLMALL,https://www.hktvmall.com/hktv/zh/main/COOLMALL/s/H5688002/電子電器/電子電器/手機及平板電腦/手機周邊配件/藍牙耳機/AirPods-2nd-generation-配備無線充電盒-MRXJ2ZPA/p/H5688002_S_DG007302973
2,H6588001_S_Huawei_P30Lite_White,smartphone,Huawei,P30 Lite 6GB+128GB 白色 香港行貨,2249.0,5.0,2,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/P30-Lite-6GB128GB-白色-香港行貨/p/H6588001_S_Huawei_P30Lite_White
3,H6588001_S_Samsung_A70_6_Black,smartphone,三星,Galaxy A70 6GB+128GB 黑色 香港行貨,2699.0,5.0,1,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A70-6GB128GB-黑色-香港行貨/p/H6588001_S_Samsung_A70_6_Black
4,H5912001_S_Xa0032,smartphone,小米,空氣淨化器2s（平行進口）,898.0,4.1,33,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/空氣淨化器2s平行進口/p/H5912001_S_Xa0032
5,H0972006_S_zenfone_6,smartphone,Asus,ZenFone Max Pro (M1) (ZB602KL) - 6GB RAM / 超長效 5000mAh 電池 / 支援 NFC (酷炫銀),1549.0,4.5,2,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/ZenFone-Max-Pro-M1-ZB602KL-6GB-RAM-超長效-5000mAh-電池-支援-NFC-酷炫銀/p/H0972006_S_zenfone_6
6,H5912001_S_AP0010,smartphone,APPLE,AirPods 2 配備充電盒(香港行貨),1160.0,3.7,9,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/AirPods-2-配備充電盒香港行貨/p/H5912001_S_AP0010
7,H0972006_S_325,smartphone,三星,4G-LTE 智能手機 - GALAXY S4 (黑色),629.0,3.3,17,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/4GLTE-智能手機-GALAXY-S4-黑色/p/H0972006_S_325
8,H0972006_S_342,smartphone,三星,4G-LTE 智能手機 - GALAXY S4 (白色),629.0,0.0,0,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/4GLTE-智能手機-GALAXY-S4-白色/p/H0972006_S_342
9,H0775001_S_ZF4SELBLK,smartphone,Asus,ZenFone 4 Selfie (ZD553KL)(黑)  [平行進口],899.0,1.0,1,HKTVmall-Outlet,https://www.hktvmall.com/hktv/zh/main/HKTVmall-Outlet/s/H1137001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/ZenFone-4-Selfie-ZD553KL黑-平行進口/p/H0775001_S_ZF4SELBLK
