,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H5300001_S_ASAA9200-6_128GBCBK4,smartphone,三星,Galaxy A9s A9200 6GB+128GB 夜影黑（平行進口）,2799.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A9s-A9200-6GB128GB-夜影黑平行進口/p/H5300001_S_ASAA9200-6_128GBCBK4
1,H6588001_S_Samsung_Note10_Glow,smartphone,三星,Galaxy Note 10 8GB+256GB N9700 幻光色 香港行貨,6399.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-Note-10-8GB256GB-N9700-幻光色-香港行貨/p/H6588001_S_Samsung_Note10_Glow
2,H6725001_S_i7_R_32_1_U,smartphone,APPLE,"iPhone 7 - 32GB, 二手9成9新 (100%正常運作)(平行進口)",2390.0,0.0,0,手機檢測科技有限公司,https://www.hktvmall.com/hktv/zh/main/手機檢測科技有限公司/s/H6725001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-7-32GB-二手9成9新-100正常運作平行進口/p/H6725001_S_i7_R_32_1_U
3,H5087001_S_hoda1879,smartphone,HODA,iPhone XS Max/11 Pro Max 疏油高透光 隱型滿版9H鋼化玻璃貼 (附DIY工具包),148.0,5.0,1,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手機周邊配件/保護貼/iPhone-XS-Max11-Pro-Max-疏油高透光-隱型滿版9H鋼化玻璃貼-附DIY工具包/p/H5087001_S_hoda1879
4,H5393001_S_1001310,smartphone,NOKIA,8110 4G LTE 雙卡雙核2MP 手提智能電話黃色(平行進貨),599.0,0.0,0,GreenMac,https://www.hktvmall.com/hktv/zh/main/GreenMac/s/H5393001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/8110-4G-LTE-雙卡雙核2MP-手提智能電話黃色平行進貨/p/H5393001_S_1001310
5,H6588001_S_Samsung_Note10_White,smartphone,三星,Galaxy Note 10 8GB+256GB N9700 幻白色 香港行貨,6399.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-Note-10-8GB256GB-N9700-幻白色-香港行貨/p/H6588001_S_Samsung_Note10_White
6,H5982001_S_cats61,smartphone,CATERPILLAR,Caterpillar CAT S61 香港行貨一年保養,6980.0,0.0,0,Xero,https://www.hktvmall.com/hktv/zh/main/Xero/s/H5982001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Caterpillar-CAT-S61-香港行貨一年保養/p/H5982001_S_cats61
7,H5912001_S_Xa0068-bk,smartphone,小米,紅米 NOTE 7 4+128GB-黑（香港行貨）,1699.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-NOTE-7-4128GB黑香港行貨/p/H5912001_S_Xa0068-bk
8,H5300001_S_ASAA60606-128GBCOR,smartphone,三星,Galaxy A60 6GB+128GB 幻魅橙（平行進口）,2299.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A60-6GB128GB-幻魅橙平行進口/p/H5300001_S_ASAA60606-128GBCOR
9,H5912001_S_SAM0044-be,smartphone,三星,Galaxy M20 M205M 雙卡雙待4+64GB 智能手機-藍（平行進口）,1488.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-M20-M205M-雙卡雙待464GB-智能手機藍平行進口/p/H5912001_S_SAM0044-be
