,product_index,username,rate_date,user_rate,buyer_comment
0,H5912001_S_Xa0015_bk,Lin Xie, 2018-07-28 ,1,做工唔错，可惜不好用，程序常出錯
1,H0778001_S_Z8,穗祥 容, 2017-03-19 ,1,"垃圾手機用了半個月便壞了,可以修理半年沒有修好便還給你,不負責任的商家."
2,H0778001_S_Z8,EAGEN KAO, 2015-11-05 ,4,Nice phone~ But took a bit long time to deliver.Consulted with the mobile company. This is a good mobile for people who need to travel between HK & China. But it took longer to buy from HKTV. It's kinda like using time to trade with discount.
