,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H6588001_S_Vivo_Y91C_Blue,smartphone,vivo,Y91C 2GB+32GB 海洋藍色 香港行貨,1049.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Y91C-2GB32GB-海洋藍色-香港行貨/p/H6588001_S_Vivo_Y91C_Blue
1,H6588001_S_OnePlus_7_Pro_6_128_MirrorGray,smartphone,OnePlus,OnePlus 7 Pro 6GB+128GB 曜岩灰色 平行進口 中國版,4499.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-7-Pro-6GB128GB-曜岩灰色-平行進口-中國版/p/H6588001_S_OnePlus_7_Pro_6_128_MirrorGray
2,H6588001_S_Oppo_Reno_6_128_Purple,smartphone,OPPO,Reno 6GB+128GB 星雲紫色 平行進口 中國版,2799.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Reno-6GB128GB-星雲紫色-平行進口-中國版/p/H6588001_S_Oppo_Reno_6_128_Purple
3,H5912001_S_MO0009,smartphone,Motorola,MOTO G6 Plus 64GB (香港行貨),2480.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/MOTO-G6-Plus-64GB-香港行貨/p/H5912001_S_MO0009
4,H6781001_S_meizu_c9_bu,smartphone,Meizu,"Meizu C9 2ram / 16rom , 5.5"" cell phone (Blue)",688.0,0.0,0,HK-GadGet-Mall,https://www.hktvmall.com/hktv/zh/main/HK-GadGet-Mall/s/H6781001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Meizu-C9-2ram-16rom-55-cell-phone-Blue/p/H6781001_S_meizu_c9_bu
5,H5866001_S_MQ7H2ZP,smartphone,APPLE,"iPhone 8 4.7"" 金色 256GB",7288.0,0.0,0,In-Smart-Digital,https://www.hktvmall.com/hktv/zh/main/In-Smart-Digital/s/H5866001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-8-47-金色-256GB/p/H5866001_S_MQ7H2ZP
6,H5866001_S_MQA82ZPAPPLECAREPLUS,smartphone,APPLE,iPhone X 太空灰 256GB 包含 AppleCare+ 全方位服務計劃保障 2Years,10876.0,0.0,0,In-Smart-Digital,https://www.hktvmall.com/hktv/zh/main/In-Smart-Digital/s/H5866001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-X-太空灰-256GB-包含-AppleCare-全方位服務計劃保障-2Years/p/H5866001_S_MQA82ZPAPPLECAREPLUS
7,H0610012_S_241-75-A00097-1,smartphone,小米,紅米 7 藍色 3G 64G Rom (香港行貨，小米1年保養),1399.0,0.0,0,米舖,https://www.hktvmall.com/hktv/zh/main/米舖/s/H0610012/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-7-藍色-3G-64G-Rom-香港行貨小米1年保養/p/H0610012_S_241-75-A00097-1
8,H0610012_S_241-75-A00096-1,smartphone,小米,紅米 7 黑色 3G 64G Rom (香港行貨，小米1年保養),1399.0,0.0,0,米舖,https://www.hktvmall.com/hktv/zh/main/米舖/s/H0610012/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-7-黑色-3G-64G-Rom-香港行貨小米1年保養/p/H0610012_S_241-75-A00096-1
9,H5912001_S_Xa0075-bk,smartphone,小米,紅米 K20 Pro 6+128GB-黑 (平行進口),3288.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-K20-Pro-6128GB黑-平行進口/p/H5912001_S_Xa0075-bk
