,product_index,username,rate_date,user_rate,buyer_comment
0,H6588001_S_Samsung_S10P_512_White,Ho Jms, 2019-03-19 ,5,"尋晚落單, 今朝收到, 有行貨貼紙 GD"
1,H6588001_S_OP6t_8_128MirBlk,Winnie Tsang, 2019-07-14 ,5,"包裝好貨品好超乎想像,平靚正！"
2,H6482001_S_150,Hyojin Ahn, 2019-01-29 ,5,Good
3,H6588001_S_Vivo_Y95_Black,John Roy Chan, 2019-03-11 ,5,Very satisfied
