,Unnamed: 0,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
13,13,H0762001_S_Acer-SF314-56G-58MJ-007160312,laptop,ACER,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 256GB SSD, 1TB HDD, MX250, Win 10) SF314-56G-58MJ",5798.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/Swift-3-筆記型電腦-14-i58265U-8GB-RAM-256GB-SSD-1TB-HDD-MX250-Win-10-SF31456G58MJ/p/H0762001_S_Acer-SF314-56G-58MJ-007160312
14,14,H6997001_S_Lenovo_T430,laptop,Lenovo ,"Lenovo i7 ThinkPad T430 14"" i7-3540m / 8G ram / 256 SSD / Window 10 吋手提電腦 [官方翻新品]",4400.0,0.0,0,B&F,https://www.hktvmall.com/hktv/zh/main/B&F/s/H6997001/電子電器/電子電器/電腦及週邊設備/手提電腦/Lenovo-i7-ThinkPad-T430-14-i73540m-8G-ram-256-SSD-Window-10-吋手提電腦-官方翻新品/p/H6997001_S_Lenovo_T430
15,15,H5807001_S_4895076203440,laptop,快譯通,XD88 Super 學習機,1580.0,4.0,1,Unstoppable,https://www.hktvmall.com/hktv/zh/main/Unstoppable/s/H5807001/電子電器/電子電器/電腦及週邊設備/手提電腦/XD88-Super-學習機/p/H5807001_S_4895076203440
16,16,H5023001_S_81B0008XHH,laptop,聯想,V330 8代 i5 卓越價值並驚奇效能筆電 (81B0008XHH) - 高質陳列品,4199.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/V330-8代-i5-卓越價值並驚奇效能筆電-81B0008XHH-高質陳列品/p/H5023001_S_81B0008XHH
17,17,H0762001_S_XE500C13-K03US-800160302,laptop,三星,"(11.6"", N3060,4GB RAM,32GB eMMC) XE500C13-K01HK Chrome OS 筆記簿型電腦",1798.0,4.9,7,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/116-N30604GB-RAM32GB-eMMC-XE500C13K01HK-Chrome-OS-筆記簿型電腦/p/H0762001_S_XE500C13-K03US-800160302
18,18,H0762001_S_Acer-SF514-53T-505N-007160300,laptop,ACER,"Swift 5 筆記型電腦 (14"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF514-53T-505N",6898.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/Swift-5-筆記型電腦-14-i58265U-8GB-RAM-256GB-SSD-Win-10-SF51453T505N/p/H0762001_S_Acer-SF514-53T-505N-007160300
19,19,S1116001_S_7869,laptop,BlueBeach,Apple MacBook Pro 13.3水晶透明保護外殼 適用於13.3寸MacBook Pro A1989/A1706/A1708,65.0,4.8,4,Bluebeach-Trading-Company-Ltd,https://www.hktvmall.com/hktv/zh/main/Bluebeach-Trading-Company-Ltd/s/S1116001/電子電器/電子電器/電腦及週邊設備/其他電腦產品/Mac專用配件/Apple-MacBook-Pro-133水晶透明保護外殼-適用於133寸MacBook-Pro-A1989A1706A1708/p/S1116001_S_7869
20,20,G5031001_S_APPMBA256_MRE92,laptop,APPLE,"MacBook Air 13-inch, 1.6GHz dual-core Intel Core i5, 256GB (2018 年), 太空灰 #HK行貨",8680.0,0.0,0,Metro-com,https://www.hktvmall.com/hktv/zh/main/Metro-com/s/G5031001/電子電器/電子電器/電腦及週邊設備/手提電腦/MacBook-Air-13inch-16GHz-dualcore-Intel-Core-i5-256GB-2018-年-太空灰-HK行貨/p/G5031001_S_APPMBA256_MRE92
21,21,S1076001_S_192940985186,laptop,聯想,LENOVO IP S130-14IGM (81J2001AHH) 手提筆記型電腦,3223.0,0.0,0,Vertex-恆進,https://www.hktvmall.com/hktv/zh/main/Vertex-恆進/s/S1076001/電子電器/電子電器/電腦及週邊設備/手提電腦/LENOVO-IP-S13014IGM-81J2001AHH-手提筆記型電腦/p/S1076001_S_192940985186
22,22,H6997001_S_LENOVO_I5_T430,laptop,Lenovo ,"Lenovo 聯想 ThinkPad T430 i5-3320M CPU 8GB RAM, 320GB HD 手提電腦 notebook computer [官方認證翻新機]",2950.0,0.0,0,B&F,https://www.hktvmall.com/hktv/zh/main/B&F/s/H6997001/電子電器/電子電器/電腦及週邊設備/手提電腦/Lenovo-聯想-ThinkPad-T430-i53320M-CPU-8GB-RAM-320GB-HD-手提電腦-notebook-computer-官方認證翻新機/p/H6997001_S_LENOVO_I5_T430
