,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H6588001_S_Nova_4_Black,smartphone,Huawei,Nova 4 8GB+128GB 黑色 香港行貨,2599.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Nova-4-8GB128GB-黑色-香港行貨/p/H6588001_S_Nova_4_Black
1,H5912001_S_SAM0012_bk,smartphone,三星,GALAXY S9+ DUAL 256GB G965FD 黑 (平行進口),6288.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/GALAXY-S9-DUAL-256GB-G965FD-黑-平行進口/p/H5912001_S_SAM0012_bk
2,H6588001_S_Sony_Xperia_L3_Black,smartphone,SONY,Xperia L3 3GB+32GB 黑色 香港行貨,1399.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-L3-3GB32GB-黑色-香港行貨/p/H6588001_S_Sony_Xperia_L3_Black
3,H5912001_S_GE0004_bk,smartphone,Google,PIXEL XL 128GB（黑色）（平行進口）,2298.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/PIXEL-XL-128GB黑色平行進口/p/H5912001_S_GE0004_bk
4,H7019001_S_Mi_Play_Black,smartphone,小米,4G-LTE 智能手機 - Mi Play (黑色),1599.0,0.0,0,凱訊數碼有限公司,https://www.hktvmall.com/hktv/zh/main/凱訊數碼有限公司/s/H7019001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/4GLTE-智能手機-Mi-Play-黑色/p/H7019001_S_Mi_Play_Black
5,H6482001_S_177,smartphone,APPLE,iPhone 7 Plus 更換顯示屏 - 上門服務（不能正常顯示）,850.0,5.0,1,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-7-Plus-更換顯示屏-上門服務不能正常顯示/p/H6482001_S_177
6,H0610012_S_241-75-A00095-1,smartphone,小米,小米9 藍色 6G 128G Rom (香港行貨，小米1年保養),3999.0,0.0,0,米舖,https://www.hktvmall.com/hktv/zh/main/米舖/s/H0610012/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/小米9-藍色-6G-128G-Rom-香港行貨小米1年保養/p/H0610012_S_241-75-A00095-1
7,H5087001_S_hoda4795,smartphone,HODA,iPhone 11 Pro 5.8 inch 柔石微重 軍規防摔 保護殼 (綠),178.0,0.0,0,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手機周邊配件/手機外殼/iPhone-11-Pro-58-inch-柔石微重-軍規防摔-保護殼-綠/p/H5087001_S_hoda4795
8,H5892002_S_130025-8531,smartphone,Speck,Presidio Pro iPhone 11 Pro Max Case - 海藍色,238.0,0.0,0,Praesto-Lifestyle,https://www.hktvmall.com/hktv/zh/main/Praesto-Lifestyle/s/H5892002/電子電器/電子電器/手機及平板電腦/手機周邊配件/其他手提電話配件/Apple/Presidio-Pro-iPhone-11-Pro-Max-Case-海藍色/p/H5892002_S_130025-8531
9,H6588001_S_Sony_Xperia10Plus_Gold,smartphone,SONY,Xperia 10 Plus 6GB+64GB 金色 香港行貨,2499.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-10-Plus-6GB64GB-金色-香港行貨/p/H6588001_S_Sony_Xperia10Plus_Gold
10,H0972006_S_vivo_Y91C_Black,smartphone,vivo,6.22吋 4G-LTE 智能手機 - Y91C (2+32GB) (典雅黑) (原裝行貨),1098.0,0.0,0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/622吋-4GLTE-智能手機-Y91C-232GB-典雅黑-原裝行貨/p/H0972006_S_vivo_Y91C_Black
11,H6588002_S_Samsung_A70_Black_CN,smartphone,三星,Galaxy A70 6GB/128GB A7050 黑色 (水貨),2498.0,0.0,0,盛逸百貨,https://www.hktvmall.com/hktv/zh/main/盛逸百貨/s/H6588002/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A70-6GB128GB-A7050-黑色-水貨/p/H6588002_S_Samsung_A70_Black_CN
12,H0775001_S_K5_Play_bk,smartphone,聯想,智能手機 K5 Play 黑色,999.0,0.0,0,DCONE,https://www.hktvmall.com/hktv/zh/main/DCONE/s/H0775001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/智能手機-K5-Play-黑色/p/H0775001_S_K5_Play_bk
13,H0775001_S_C01961,smartphone,SONY,索尼 Xperia L3 I4332 銀色,1550.0,0.0,0,DCONE,https://www.hktvmall.com/hktv/zh/main/DCONE/s/H0775001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/索尼-Xperia-L3-I4332-銀色/p/H0775001_S_C01961
14,H0775001_S_AL05GLD,smartphone,Alcatel,POP4 7070i智能電話(金),999.0,0.0,0,DCONE,https://www.hktvmall.com/hktv/zh/main/DCONE/s/H0775001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/POP4-7070i智能電話金/p/H0775001_S_AL05GLD
15,H6588001_S_Samsung_S10P_512_Black,smartphone,三星,Galaxy S10+ 8GB+512GB 陶瓷黑色 香港行貨,7599.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-S10-8GB512GB-陶瓷黑色-香港行貨/p/H6588001_S_Samsung_S10P_512_Black
16,H5912001_S_Xa0019_gd,smartphone,小米,XIAOMI-紅米 6 (4GB+64GB) -金 (香港行貨),998.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/XIAOMI紅米-6-4GB64GB-金-香港行貨/p/H5912001_S_Xa0019_gd
17,H5912001_S_Xa0074-bk,smartphone,小米,Redmi K20 Mi9t 6+128GB-黑(平行進口),2699.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Redmi-K20-Mi9t-6128GB黑平行進口/p/H5912001_S_Xa0074-bk
18,H6588001_S_OP6t_8_128_MidBlk,smartphone,OnePlus,OnePlus 6t 8GB+128GB 午夜黑色 平行進口 中國版,3499.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-6t-8GB128GB-午夜黑色-平行進口-中國版/p/H6588001_S_OP6t_8_128_MidBlk
