,product_index,username,rate_date,user_rate,buyer_comment
0,H6482001_S_177,Tin Chu Tsang, 2019-08-20 ,5,The repair master is very good and professional.
1,H0795001_S_CXX1238_BK,W Chan, 2019-10-11 ,5,"Great product, seller is responsive and helpful."
2,H6588001_S_Vivo_V15Pro_Blue,John Roy Chan, 2019-04-02 ,5,perfect
