,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H5302003_S_L38GL26018,smartphone,Spigen,Huawei P30 全屏高清玻璃保護貼 - 黑,198.0,0.0,0,SRSWorks-Limited,https://www.hktvmall.com/hktv/zh/main/SRSWorks-Limited/s/H5302003/電子電器/電子電器/手機及平板電腦/手機周邊配件/保護貼/Huawei-P30-全屏高清玻璃保護貼-黑/p/H5302003_S_L38GL26018
1,H5892002_S_117133-6683,smartphone,Speck,iPhone Xs Presidio Sport - Black / Gunmetal Grey,280.0,0.0,0,Praesto-Lifestyle,https://www.hktvmall.com/hktv/zh/main/Praesto-Lifestyle/s/H5892002/電子電器/電子電器/手機及平板電腦/手機周邊配件/手機外殼/iPhone-Xs-Presidio-Sport-Black-Gunmetal-Grey/p/H5892002_S_117133-6683
2,H0972006_S_AM160,smartphone,iEAST,AM160 Wireless Multi-Room Stereo Amplifier,1688.0,0.0,0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/視聽娛樂/其他/其他影音器材-&-配件/AM160-Wireless-MultiRoom-Stereo-Amplifier/p/H0972006_S_AM160
3,H5892002_S_848709047205,smartphone,Speck,"Presidio Clear + Print iPhone 8, iPhone 7, iPhone 6s & iPhone 6 Case",238.0,0.0,0,Praesto-Lifestyle,https://www.hktvmall.com/hktv/zh/main/Praesto-Lifestyle/s/H5892002/電子電器/電子電器/手機及平板電腦/手機周邊配件/手機外殼/Presidio-Clear-Print-iPhone-8-iPhone-7-iPhone-6s-iPhone-6-Case/p/H5892002_S_848709047205
4,H5912001_S_VI0013-bk,smartphone,vivo,X9S 4+64GB-黑（平行進口）,1998.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/X9S-464GB黑平行進口/p/H5912001_S_VI0013-bk
5,H5912001_S_VI0014,smartphone,vivo,X20 4+64GB-粉（平行進口）,1998.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/X20-464GB粉平行進口/p/H5912001_S_VI0014
6,S2229001_S_MZC9PROGD,smartphone,Meizu,"C9 Pro 3G ram / 32G rom  , 5.5"" 智能手機 (金色)",888.0,0.0,0,溍鎰實業有限公司,https://www.hktvmall.com/hktv/zh/main/溍鎰實業有限公司/s/S2229001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/C9-Pro-3G-ram-32G-rom-55-智能手機-金色/p/S2229001_S_MZC9PROGD
7,H5688002_S_DG108700005,smartphone,Android,LunaR-Nylon watch - Grey,2180.0,0.0,0,COOLMALL,https://www.hktvmall.com/hktv/zh/main/COOLMALL/s/H5688002/電子電器/電子電器/手機及平板電腦/手機周邊配件/智能手錶-配置/LunaRNylon-watch-Grey/p/H5688002_S_DG108700005
8,H5892002_S_117134-6600,smartphone,Speck,iPhone XS / X Presidio METALLIC Case,280.0,0.0,0,Praesto-Lifestyle,https://www.hktvmall.com/hktv/zh/main/Praesto-Lifestyle/s/H5892002/電子電器/電子電器/手機及平板電腦/手機周邊配件/手機外殼/iPhone-XS-X-Presidio-METALLIC-Case/p/H5892002_S_117134-6600
9,H7007001_S_SAMG9750512H01WH01,smartphone,三星,香港行貨(陶瓷白)GALAXY S10+ G9750 8GB RAM 512GB ROM,7688.0,0.0,0,煒信電信電子科技公司,https://www.hktvmall.com/hktv/zh/main/煒信電信電子科技公司/s/H7007001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/香港行貨陶瓷白GALAXY-S10-G9750-8GB-RAM-512GB-ROM/p/H7007001_S_SAMG9750512H01WH01
10,H7019001_S_Honor_10_Black,smartphone,Huawei,4G-LTE 智能手機 - Honor 10 (黑色),1999.0,0.0,0,凱訊數碼有限公司,https://www.hktvmall.com/hktv/zh/main/凱訊數碼有限公司/s/H7019001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/4GLTE-智能手機-Honor-10-黑色/p/H7019001_S_Honor_10_Black
11,H7007001_S_SAMA70508H01BU01,smartphone,三星,香港行貨(藍色)GALAXY A70 A7050 8GB RAM 128GB ROM,3128.0,0.0,0,煒信電信電子科技公司,https://www.hktvmall.com/hktv/zh/main/煒信電信電子科技公司/s/H7007001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/香港行貨藍色GALAXY-A70-A7050-8GB-RAM-128GB-ROM/p/H7007001_S_SAMA70508H01BU01
12,H5688002_S_DG108700006,smartphone,Android,LunaR-Leather Watch (Genuine distressed)  - Walnut Brown,2380.0,0.0,0,COOLMALL,https://www.hktvmall.com/hktv/zh/main/COOLMALL/s/H5688002/電子電器/電子電器/手機及平板電腦/手機周邊配件/智能手錶-配置/LunaRLeather-Watch-Genuine-distressed-Walnut-Brown/p/H5688002_S_DG108700006
13,H6588001_S_Redmi_K20Pro_6_128_Blue_cn,smartphone,小米,紅米 K20 Pro 6GB+128GB 藍色 平行進口 中國版,2799.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-K20-Pro-6GB128GB-藍色-平行進口-中國版/p/H6588001_S_Redmi_K20Pro_6_128_Blue_cn
14,H6588001_S_Redmi_K20Pro_8_128_Blue_cn,smartphone,小米,紅米 K20 Pro 8GB+128GB 藍色 平行進口 中國版,3049.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-K20-Pro-8GB128GB-藍色-平行進口-中國版/p/H6588001_S_Redmi_K20Pro_8_128_Blue_cn
15,H6588001_S_Sony_Xperia10_Black,smartphone,SONY,Xperia 10 4GB+64GB 黑色 香港行貨,1999.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-10-4GB64GB-黑色-香港行貨/p/H6588001_S_Sony_Xperia10_Black
16,H6588001_S_OP6_8_128_MidBlk,smartphone,OnePlus,OnePlus 6 8GB+128GB 午夜黑色 平行進口 中國版,3399.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-6-8GB128GB-午夜黑色-平行進口-中國版/p/H6588001_S_OP6_8_128_MidBlk
17,H5912001_S_Xa0015_bk,smartphone,小米,A1 32GB（黑色）（平行進口）,1599.0,1.0,1,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/A1-32GB黑色平行進口/p/H5912001_S_Xa0015_bk
18,H5912001_S_GE0003_bk,smartphone,Google,PIXEL XL 32GB（黑色）（平行進口）,1998.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/PIXEL-XL-32GB黑色平行進口/p/H5912001_S_GE0003_bk
19,H0775019_S_L07,smartphone,Motorola,Moto Z2 Play XT1710-09 64G 智能電話,3699.0,0.0,0,Motorola-&-Lenovo專門店,https://www.hktvmall.com/hktv/zh/main/Motorola-&-Lenovo專門店/s/H0775019/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Moto-Z2-Play-XT171009-64G-智能電話/p/H0775019_S_L07
