,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H0972006_S_L2,smartphone,SONY,"Xperia L2 5.5"" / 32GB / NFC 智能手機 (黑色)",899.0,0.0,0,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-L2-55-32GB-NFC-智能手機-黑色/p/H0972006_S_L2
1,H5300001_S_AHUSTK-L224-128GBSB,smartphone,Huawei,Huawei Y9 Prime 2019 4GB+128GB 寶石藍（香港行貨）,1799.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Huawei-Y9-Prime-2019-4GB128GB-寶石藍香港行貨/p/H5300001_S_AHUSTK-L224-128GBSB
2,H5912001_S_LG0011-pr,smartphone,LG,Q6+ M700DSN Black 64GB-紫（香港行貨）,1599.0,1.0,1,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Q6-M700DSN-Black-64GB紫香港行貨/p/H5912001_S_LG0011-pr
3,H6588001_S_Huawei_P30_Pro_BreathingCrystal,smartphone,Huawei,P30 Pro 8GB+256GB 天空之境色 香港行貨,5599.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/P30-Pro-8GB256GB-天空之境色-香港行貨/p/H6588001_S_Huawei_P30_Pro_BreathingCrystal
4,H0775002_S_AL06,smartphone,Alcatel,POP4 Plus 5056D智能電話(灰) - Alcatel,599.0,0.0,0,Suntec,https://www.hktvmall.com/hktv/zh/main/Suntec/s/H0775002/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/POP4-Plus-5056D智能電話灰-Alcatel/p/H0775002_S_AL06
5,H6482001_S_128,smartphone,APPLE,iPhone 6S 上門更換電池服務(包電池),250.0,5.0,5,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-6S-上門更換電池服務包電池/p/H6482001_S_128
6,H5912001_S_LN0010,smartphone,聯想,S5 4G+64G 雙卡雙待-黑（香港行貨）,1099.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/S5-4G64G-雙卡雙待黑香港行貨/p/H5912001_S_LN0010
7,H6588001_S_Samsung_Note10P_256_Glow,smartphone,三星,Galaxy Note 10+ 12GB+256GB N9750 幻光色 香港行貨,7399.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-Note-10-12GB256GB-N9750-幻光色-香港行貨/p/H6588001_S_Samsung_Note10P_256_Glow
8,G5031001_S_APPIXR64MT122,smartphone,APPLE,"iPhone XR, 64GB - 黑色 #HK行貨",5189.0,0.0,0,Metro-com,https://www.hktvmall.com/hktv/zh/main/Metro-com/s/G5031001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-XR-64GB-黑色-HK行貨/p/G5031001_S_APPIXR64MT122
9,H5087001_S_hoda0766,smartphone,HODA,Iphone X/XS/11 Pro 防窺 9H鋼化玻璃保護貼 隱形滿版2.5D(附贈 DIY 工具包) hoda0766,168.0,0.0,0,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手機周邊配件/保護貼/Iphone-XXS11-Pro-防窺-9H鋼化玻璃保護貼-隱形滿版25D附贈-DIY-工具包-hoda0766/p/H5087001_S_hoda0766
