,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,H5156001_S_a320190617A13,smartphone,LINE FRIENDS,LINE FRIENDS AirPods Case with Keychain- Boy,239.0,0.0,0,a3,https://www.hktvmall.com/hktv/zh/main/a3/s/H5156001/電子電器/電子電器/手機及平板電腦/手機周邊配件/藍牙耳機/LINE-FRIENDS-AirPods-Case-with-Keychain-Boy/p/H5156001_S_a320190617A13
1,H5087001_S_hoda4443,smartphone,HODA,美國康寧授權 iPhone 11 / XR 6.1 inch 2.5D 隱形滿版玻璃保護貼(AGBC),298.0,0.0,0,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手機周邊配件/保護貼/美國康寧授權-iPhone-11-XR-61-inch-25D-隱形滿版玻璃保護貼AGBC/p/H5087001_S_hoda4443
2,H5300001_S_ASAA80508-128GBAGD,smartphone,三星,Galaxy A80 8GB+128GB 幻魅金（平行進口）,3899.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A80-8GB128GB-幻魅金平行進口/p/H5300001_S_ASAA80508-128GBAGD
3,H5912001_S_SAM0042-or,smartphone,三星,Galaxy A70 SM-A705 雙卡雙待 6+128GB 智能手機-橙 (平行進口),2699.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A70-SMA705-雙卡雙待-6128GB-智能手機橙-平行進口/p/H5912001_S_SAM0042-or
4,H6588002_S_Samsung_A60_Black_CN,smartphone,三星,Galaxy A60 6GB/64GB A6060 黑色 (水貨),1748.0,0.0,0,盛逸百貨,https://www.hktvmall.com/hktv/zh/main/盛逸百貨/s/H6588002/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-A60-6GB64GB-A6060-黑色-水貨/p/H6588002_S_Samsung_A60_Black_CN
5,H5912001_S_EK0001,smartphone,柯達,EKTRA（香港行貨）,1499.0,5.0,1,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/EKTRA香港行貨/p/H5912001_S_EK0001
6,H6588001_S_HTC_U12_Life_Purple,smartphone,HTC,U12 Life 4GB+64GB 暮光紫色 香港行貨,1799.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/U12-Life-4GB64GB-暮光紫色-香港行貨/p/H6588001_S_HTC_U12_Life_Purple
7,H0972006_S_ld8x,smartphone,MiraScreen,LD8X iPhone 電視同屏線，輕鬆在大屏幕中暢玩遊戲邊充電，高清不卡頓，聲畫同步,139.0,3.0,1,ASK-Super-Outlet,https://www.hktvmall.com/hktv/zh/main/ASK-Super-Outlet/s/H1142001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/LD8X-iPhone-電視同屏線輕鬆在大屏幕中暢玩遊戲邊充電高清不卡頓聲畫同步/p/H0972006_S_ld8x
8,H5912001_S_SAM0043-bk,smartphone,三星,Galaxy M20 M205M 雙卡雙待3+32GB 智能手機-黑（平行進口）,1288.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-M20-M205M-雙卡雙待332GB-智能手機黑平行進口/p/H5912001_S_SAM0043-bk
9,H5912001_S_SAM0045-pe,smartphone,三星,Galaxy Note9 6+128GB 智能手機-紫（平行進口）,4888.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Galaxy-Note9-6128GB-智能手機紫平行進口/p/H5912001_S_SAM0045-pe
10,H6588001_S_Sony_Xperia_L3_Silver,smartphone,SONY,Xperia L3 3GB+32GB 銀色 香港行貨,1399.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-L3-3GB32GB-銀色-香港行貨/p/H6588001_S_Sony_Xperia_L3_Silver
11,H6482001_S_172,smartphone,APPLE,iPhone 7 上門更換電池服務(包電池),250.0,5.0,1,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-7-上門更換電池服務包電池/p/H6482001_S_172
12,H5912001_S_Xa0067-be,smartphone,小米,紅米 NOTE 7 4+64GB-藍（香港行貨）,1599.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/紅米-NOTE-7-464GB藍香港行貨/p/H5912001_S_Xa0067-be
13,H5683001_S_P1598,smartphone,日本ASK,SP618 八核極速高配手機,1880.0,0.0,0,日本ASK數碼專門店,https://www.hktvmall.com/hktv/zh/main/日本ASK數碼專門店/s/H5683001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/SP618-八核極速高配手機/p/H5683001_S_P1598
14,H5912001_S_Ca0002,smartphone,CAT,S60（香港行貨）,4080.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/S60香港行貨/p/H5912001_S_Ca0002
15,H5912001_S_HT0002_bk,smartphone,HTC,DESIRE 12 PLUS 32GB（黑色）（香港行貨）,1599.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/DESIRE-12-PLUS-32GB黑色香港行貨/p/H5912001_S_HT0002_bk
16,H5982001_S_xeroxm05black,smartphone,Xero,Xero XM05 Black 長者機大聲大字 香港行貨一年保養,650.0,0.0,0,Xero,https://www.hktvmall.com/hktv/zh/main/Xero/s/H5982001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xero-XM05-Black-長者機大聲大字-香港行貨一年保養/p/H5982001_S_xeroxm05black
17,H0775023_S_SONYH4493BLK,smartphone,SONY,H4493 Xperia XA2 Plus 智能電話 (黑色) - Sony,2888.0,0.0,0,Sony,https://www.hktvmall.com/hktv/zh/main/Sony/s/H0775023/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/H4493-Xperia-XA2-Plus-智能電話-黑色-Sony/p/H0775023_S_SONYH4493BLK
18,H0795001_S_GWC1004_W,smartphone,高崎,GOKI® GWC-1004 發光動態 無線快速充電器(10W),98.0,0.0,0,高崎,https://www.hktvmall.com/hktv/zh/main/高崎/s/H0795001/電子電器/電子電器/手機及平板電腦/手機周邊配件/USB充電器/無線充電器/GOKI-GWC1004-發光動態-無線快速充電器10W/p/H0795001_S_GWC1004_W
19,H6588001_S_Sony_Xperia10_Silver,smartphone,SONY,Xperia 10 4GB+64GB 銀色 香港行貨,1999.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-10-4GB64GB-銀色-香港行貨/p/H6588001_S_Sony_Xperia10_Silver
20,H6588001_S_Sony_Xperia10_Navy,smartphone,SONY,Xperia 10 4GB+64GB 軍藍色 香港行貨,1999.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Xperia-10-4GB64GB-軍藍色-香港行貨/p/H6588001_S_Sony_Xperia10_Navy
21,H5087001_S_hoda2227,smartphone,HODA,Iphone XR/ iphone 11 手遊專用 霧面防眩光 9H鋼化玻璃保護貼(附贈 DIY 工具包),168.0,0.0,0,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手機周邊配件/保護貼/Iphone-XR-iphone-11-手遊專用-霧面防眩光-9H鋼化玻璃保護貼附贈-DIY-工具包/p/H5087001_S_hoda2227
